tool_id,tool_name,directory,event_type,version,old_version,change_type,commit_hash,commit_date,commit_message
chromeister,Chromeister,chromeister,update,1.5.a+galaxy1,1.5.a,wrapper,7b4e398a9ce827fd6ff9584173e3d1cd69f5cd6d,2022-08-18T11:43:27+00:00,chromeister: add profile (#4720)
hyphy_relax,HyPhy-RELAX,hyphy,update,2.5.36+galaxy2,2.5.36+galaxy1,wrapper,821e0f3e4546bc55e093ab63bd9f9b57f2bf772d,2022-08-18T12:36:39+00:00,hyphy_relax: speed up tests (#4721)
genomescope,GenomeScope,genomescope,update,2.0+galaxy2,2.0+galaxy1,wrapper,41cbd9e93c32d81132ad0ee4dfa606ea67446bb0,2022-08-18T12:36:59+00:00,genomescope: fix tests (#4722)
humann_barplot,Barplot,humann,new,3.0.0+galaxy1,,initial,9d1eca3087b58ff03fff0cd42a3092e2b4d86f60,2022-08-18T13:52:10+00:00,humann: remove unused test parameters (#4726)
bwa,Map with BWA,bwa,update,0.7.17.5,0.7.17.4,wrapper,8f4d108191d52e3b60212dfcc3f57541e5f849d0,2022-08-19T18:30:23+00:00,bwa: add missing parameter to CLI (#4729)
biom_add_metadata,Add metadata,biom_format,update,2.1.12+galaxy1,2.1.12+galaxy0,wrapper,ddde8018cc6ff30dbb448e66be5433ce36e56b55,2022-08-19T18:31:20+00:00,biom-format: implement missing parameter (#4732)
biom_convert,Convert,biom_format,update,2.1.12+galaxy1,2.1.12+galaxy0,wrapper,ddde8018cc6ff30dbb448e66be5433ce36e56b55,2022-08-19T18:31:20+00:00,biom-format: implement missing parameter (#4732)
biom_from_uc,Create a BIOM table,biom_format,update,2.1.12+galaxy1,2.1.12+galaxy0,wrapper,ddde8018cc6ff30dbb448e66be5433ce36e56b55,2022-08-19T18:31:20+00:00,biom-format: implement missing parameter (#4732)
biom_normalize_table,Normalize,biom_format,update,2.1.12+galaxy1,2.1.12+galaxy0,wrapper,ddde8018cc6ff30dbb448e66be5433ce36e56b55,2022-08-19T18:31:20+00:00,biom-format: implement missing parameter (#4732)
biom_subset_table,Subset,biom_format,update,2.1.12+galaxy1,2.1.12+galaxy0,wrapper,ddde8018cc6ff30dbb448e66be5433ce36e56b55,2022-08-19T18:31:20+00:00,biom-format: implement missing parameter (#4732)
biom_summarize_table,Summarize sample or observation data,biom_format,update,2.1.12+galaxy1,2.1.12+galaxy0,wrapper,ddde8018cc6ff30dbb448e66be5433ce36e56b55,2022-08-19T18:31:20+00:00,biom-format: implement missing parameter (#4732)
